time_from_start,shoulder_joint,upperarm_joint,lowerarm_joint,spur_gear_joint
0.000000,0.000000000,1.570796327,1.570796327,0.000000000
0.020000,-0.000000507,1.570796045,1.570796675,0.000000000
0.040000,-0.000004031,1.570794083,1.570799098,0.000000000
0.060000,-0.000013522,1.570788799,1.570805624,0.000000000
0.080000,-0.000031859,1.570778590,1.570818231,0.000000000
0.100000,-0.000061848,1.570761895,1.570838849,0.000000000
0.120000,-0.000106224,1.570737190,1.570869359,0.000000000
0.140000,-0.000167653,1.570702992,1.570911592,0.000000000
0.160000,-0.000248728,1.570657857,1.570967333,0.000000000
0.180000,-0.000351976,1.570600377,1.571038319,0.000000000
0.200000,-0.000479854,1.570529186,1.571126238,0.000000000
0.220000,-0.000634750,1.570442953,1.571232732,0.000000000
0.240000,-0.000818986,1.570340387,1.571359398,0.000000000
0.260000,-0.001034815,1.570220232,1.571507786,0.000000000
0.280000,-0.001284426,1.570081271,1.571679399,0.000000000
0.300000,-0.001569940,1.569922322,1.571875696,0.000000000
0.320000,-0.001893414,1.569742240,1.572098093,0.000000000
0.340000,-0.002256841,1.569539915,1.572347957,0.000000000
0.360000,-0.002662148,1.569314276,1.572626615,0.000000000
0.380000,-0.003111201,1.569064282,1.572935349,0.000000000
0.400000,-0.003605801,1.568788932,1.573275398,0.000000000
0.420000,-0.004147688,1.568487257,1.573647958,0.000000000
0.440000,-0.004738539,1.568158323,1.574054182,0.000000000
0.460000,-0.005379972,1.567801229,1.574495182,0.000000000
0.480000,-0.006073543,1.567415110,1.574972027,0.000000000
0.500000,-0.006820747,1.566999132,1.575485747,0.000000000
0.520000,-0.007623022,1.566552495,1.576037330,0.000000000
0.540000,-0.008481747,1.566074432,1.576627723,0.000000000
0.560000,-0.009398241,1.565564208,1.577257834,0.000000000
0.580000,-0.010373768,1.565021121,1.577928531,0.000000000
0.600000,-0.011409531,1.564444498,1.578640642,0.000000000
0.620000,-0.012506682,1.563833701,1.579394958,0.000000000
0.640000,-0.013666312,1.563188120,1.580192231,0.000000000
0.660000,-0.014889461,1.562507178,1.581033174,0.000000000
0.680000,-0.016177111,1.561790327,1.581918463,0.000000000
0.700000,-0.017530192,1.561037050,1.582848737,0.000000000
0.720000,-0.018949580,1.560246859,1.583824599,0.000000000
0.740000,-0.020436098,1.559419296,1.584846615,0.000000000
0.760000,-0.021990517,1.558553931,1.585915314,0.000000000
0.780000,-0.023613557,1.557650365,1.587031191,0.000000000
0.800000,-0.025305884,1.556708225,1.588194705,0.000000000
0.820000,-0.027068117,1.555727168,1.589406281,0.000000000
0.840000,-0.028900823,1.554706878,1.590666308,0.000000000
0.860000,-0.030804520,1.553647066,1.591975144,0.000000000
0.880000,-0.032779679,1.552547470,1.593333111,0.000000000
0.900000,-0.034826719,1.551407858,1.594740498,0.000000000
0.920000,-0.036946015,1.550228019,1.596197563,0.000000000
0.940000,-0.039137893,1.549007773,1.597704529,0.000000000
0.960000,-0.041402634,1.547746964,1.599261591,0.000000000
0.980000,-0.043740472,1.546445460,1.600868908,0.000000000
1.000000,-0.046151596,1.545103157,1.602526612,0.000000000
1.020000,-0.048636152,1.543719974,1.604234801,0.000000000
1.040000,-0.051194238,1.542295855,1.605993545,0.000000000
1.060000,-0.053825914,1.540830769,1.607802882,0.000000000
1.080000,-0.056531191,1.539324707,1.609662823,0.000000000
1.100000,-0.059310044,1.537777685,1.611573348,0.000000000
1.120000,-0.062162401,1.536189742,1.613534409,0.000000000
1.140000,-0.065088151,1.534560940,1.615545929,0.000000000
1.160000,-0.068087144,1.532891364,1.617607806,0.000000000
1.180000,-0.071159187,1.531181119,1.619719906,0.000000000
1.200000,-0.074304050,1.529430335,1.621882072,0.000000000
1.220000,-0.077521463,1.527639160,1.624094118,0.000000000
1.240000,-0.080811118,1.525807768,1.626355832,0.000000000
1.260000,-0.084172671,1.523936350,1.628666976,0.000000000
1.280000,-0.087605738,1.522025119,1.631027289,0.000000000
1.300000,-0.091109901,1.520074307,1.633436482,0.000000000
1.320000,-0.094684705,1.518084169,1.635894242,0.000000000
1.340000,-0.098329660,1.516054977,1.638400233,0.000000000
1.360000,-0.102044242,1.513987023,1.640954093,0.000000000
1.380000,-0.105827892,1.511880618,1.643555440,0.000000000
1.400000,-0.109680018,1.509736091,1.646203865,0.000000000
1.420000,-0.113599995,1.507553791,1.648898939,0.000000000
1.440000,-0.117587165,1.505334084,1.651640211,0.000000000
1.460000,-0.121640840,1.503077352,1.654427205,0.000000000
1.480000,-0.125760299,1.500783998,1.657259428,0.000000000
1.500000,-0.129944792,1.498454439,1.660136363,0.000000000
1.520000,-0.134193537,1.496089109,1.663057474,0.000000000
